215.;Suzuki;mit griechischen Nudeln und Salat;6,00;Nudelgerichte;
224.;Spaghetti;mit Hackfleisch;6,00;Nudelgerichte;
227.;Spaghetti;mit Tomaten-Sauce;5,00;Nudelgerichte;
220.;Aladin-Teller;Putenbrustfilet mit Pommes frites und Salat;7,00;Kindergerichte;
221.;Pinocchio-Teller;Schweinefilet, Souvlaki mit Pommes frites und Salat;8,00;Kindergerichte;
222.;Kleiner Gyros-Teller;mit Pommes frites und Salat;7,50;Kindergerichte;
225.;Mousaka;;7,50;Kindergerichte;
226.;Kleines Suzuki;mit Pommes frites;5,00;Kindergerichte;
228.;Gyros-Souvlaki;mit Pommes frites und Salat;8,00;Kindergerichte;
G1;Kräusen;;3,80;Getränke;
G2;Großes Kräusen;;4,50;Getränke;
G3;Starter Kräusen + Größes Kräusen;;8,30;Getränke;
G4;Hefeweizen;;3,80;Getränke;
G5;Alkoholfreies Weizen;;3,80;Getränke;
G6;Alkoholfreies Pils;;3,50;Getränke;
G7;Rotwein;;5,00;Getränke;
G8;Weißwein;;5,00;Getränke;
G9;Apfelschorle;;3,20;Getränke;
G10;Kiba;;3,20;Getränke;
G11;Ouzo;;1,20;Getränke;
G12;Flashe Ouzo;;25,00;Getränke;
G13;Spezi;;2,80;Getränke;
G14;Mineralwasser;;2,00;Getränke;
G15;Cola;;2,80;Getränke;
G16;Fanta;;2,80;Getränke;
G17;Sprite;;2,80;Getränke;
